entity_name,address,floor,borough,state,zip,aed_num_person_trained,aed_num_aeds,latitude,longitude,community_district,council_district,census_tract_2010,nta_code,bbl,bin,location_point
CFN DAP,1 FORDHAM PLAZA,7th Floor,Bronx,New York,10458,4,1,40.86073227,-73.88958427,206,15,38700,BX06,2030330053,2088325,POINT (-73.88958427 40.86073227)
Olmstead Condominium,382 CENTRAL PARK WEST,Gym,Manhattan,New York,10001,17,1,40.79347366,-73.96567229,107,7,18500,MN12,1018337501,1074358,POINT (-73.96567229 40.79347366)
Citywide,63 FLUSHING AVENUE,NA,Brooklyn,New York,11205,0,1,40.69801326,-73.97498635,302,33,54300,BK99,3020230001,3000000,POINT (-73.97498635 40.69801326)
"Mutual Redevelopment Houses, Inc - 8A Comm. Rm",343 8 AVENUE,-,Manhattan,New York,10001,38,1,40.74772916,-73.99672298,104,3,9700,MN13,1007510001,1082793,POINT (-73.99672298 40.74772916)
"SoulCycle, Inc",140 EAST 63 STREET,Ground,Manhattan,New York,10065,12,1,40.76458524,-73.96605184,108,4,11402,MN40,1013977505,1042055,POINT (-73.96605184 40.76458524)
Equinox,10 COLUMBUS AVENUE,NA,Manhattan,New York,10019,19,3,40.76956546,-73.98452651,107,6,14500,MN14,1011310031,1076229,POINT (-73.98452651 40.76956546)
Yankee Stadiun,2 EAST 161 STREET,331,Bronx,New York,10451,20,1,40.82950379,-73.92932705,204,16,18900,BX26,2025390504,2000000,POINT (-73.92932705 40.82950379)
Fisk Building Assoc. LLC,250 WEST 57 STREET,Suite 201,Manhattan,New York,10107,3,1,40.76638394,-73.98211934,105,6,13700,MN17,1010280056,1024899,POINT (-73.98211934 40.76638394)
The Dominican Academy,44 EAST 68 STREET,Travel,Manhattan,New York,10065,7,1,40.76902375,-73.96686909,108,4,12200,MN40,1013820043,1041229,POINT (-73.96686909 40.76902375)
"Interpublic Group of Companies, Inc",1400 BROADWAY,4th floor / mailroom,Manhattan,New York,10018,4,1,40.75317959,-73.98720847,105,4,11300,MN17,1008140019,1015266,POINT (-73.98720847 40.75317959)
Morgan Stanley - ISG - New York Metro -1585 Broadway - Floor: 33,1585 BROADWAY,-,Manhattan,New York,10036,1,1,40.76020869,-73.98533366,105,3,12500,MN17,1010197502,1076193,POINT (-73.98533366 40.76020869)
P.S. 145 Andrew Jackson,100 Noll Street,gym,Brooklyn,New York,11206,12,1,40.70161367,-73.9324097,304,34,42500,BK78,3031530011,3071915,POINT (-73.9324097 40.70161367)
"AECOM of YU, Div. of Substance Abuse",1500 WATERS PLACE,"6th Floor, Pharmacy",Bronx,New York,10461,2,1,40.84443063,-73.84003013,211,13,28400,BX37,2042260030,2096968,POINT (-73.84003013 40.84443063)
P.S. 149 Danny Kaye,700 Sutter Avenue,4th Floor rm 406,Brooklyn,New York,11207,9,1,40.66971116,-73.89282162,305,42,115800,BK85,3037740016,3084348,POINT (-73.89282162 40.66971116)
Jack and Pearl Resnick Campus,1300 Morris Park Ave,"Forchheimer, Gr Fl",Bronx,New York,10461,2,1,40.85117554,-73.84482139,211,13,28600,BX37,2041170001,2097363,POINT (-73.84482139 40.85117554)
"Collibra, Inc.",61 BROADWAY,2401,Manhattan,New York,10006,1,1,40.70698798,-74.01233539,101,1,1300,MN25,1000210001,1000808,POINT (-74.01233539 40.70698798)
Morgan Stanley - ISG - New York Metro - 1633 Broadway - Floor: 29,1633 BROADWAY,-,Manhattan,New York,10019,3,1,40.76156716,-73.98396163,105,3,13100,MN17,1010220043,1024812,POINT (-73.98396163 40.76156716)
Hearst Communication,300 WEST 57 STREET,29,Manhattan,New York,10019,8,1,40.76643902,-73.98332508,104,6,13900,MN15,1010477502,1025451,POINT (-73.98332508 40.76643902)
The Wayne Center For Nursing and Rehabilitation,3530 WAYNE AVENUE,Vent Unit-2nd Floor,Bronx,New York,10467,60,1,40.88113801,-73.87744279,207,11,43100,BX43,2033440052,2018271,POINT (-73.87744279 40.88113801)
The Richmond Pre-K Center (R090) at 1535 Richmond Ave,1535 Richmond Ave,Main Entrance,Staten Island,New York,10314,7,1,40.61055977,-74.16004477,502,50,29104,SI05,5015480100,5151294,POINT (-74.16004477 40.61055977)
A.C.E. Academy for Scholars at the Geraldine Ferraro Campus,55-20 Metropolitan Avenue,Main Entrance,Queens,New York,11385,10,1,40.71301518,-73.90830583,405,30,59500,QN20,4033650027,4080234,POINT (-73.90830583 40.71301518)
P. S. 62 - Chester Park School,97-25 108 Street,Main Entrance,Queens,New York,11419,6,1,40.68856942,-73.83616143,409,29,11000,QN54,4094100001,4197909,POINT (-73.83616143 40.68856942)
Columbia University,617 WEST 168 STREET,Georgian Building / Lobby by fire pull station,Manhattan,New York,10032,8,1,40.84139209,-73.94048934,112,10,25100,MN36,1021380095,1063382,POINT (-73.94048934 40.84139209)
The Blackstone Group,345 PARK AVENUE,43rd Floor / east pantry,Manhattan,New York,10154,33,1,40.75816441,-73.97324549,105,4,10000,MN19,1013060001,1036460,POINT (-73.97324549 40.75816441)
Morgan Stanley - ISG - New York Metro - New York NY 1290 - Floor: 12,1290 AVENUE OF THE AMERICAS,-,Manhattan,New York,10019,32,2,40.76085011,-73.97971672,105,4,10400,MN17,1012670001,1034510,POINT (-73.97971672 40.76085011)
P.S. 131 Brooklyn,4305 Fort Hamilton Parkway,MAIN ENTRANCE,Brooklyn,New York,11219,11,1,40.64114951,-73.99348169,312,44,22400,BK88,3056030001,3136085,POINT (-73.99348169 40.64114951)
Anacostia Rail Holdings - NEW YORK & ATLANTIC RAILWAY (NYA),68-01 OTTO ROAD,-,Queens,New York,11385,18,1,40.70621597,-73.88637866,405,30,61301,QN20,4036670650,4454922,POINT (-73.88637866 40.70621597)
P.S. 190 Sheffield,590 Sheffield Avenue,third floor outside elevator,Brooklyn,New York,11207,5,1,40.66231823,-73.89444111,305,42,112800,BK85,3038380018,3085491,POINT (-73.89444111 40.66231823)
I.S. 5 - The Walter Crowley Intermediate School,50-40 Jacobus Street,MAIN ENTRANCE,Queens,New York,11373,9,1,40.73791083,-73.88740696,404,30,48900,QN50,4024500017,4454423,POINT (-73.88740696 40.73791083)
Internal Revenue Service,290 BROADWAY,12th Floor - South Main Door,Manhattan,New York,10007,36,1,40.71480011,-74.00576441,101,1,3100,MN24,1001540001,1083094,POINT (-74.00576441 40.71480011)
Clara Barton High School,901 Classon Avenue,Cafeteria/Basement,Brooklyn,New York,11225,16,1,40.66956009,-73.96196208,309,35,21300,BK63,3011880001,3029702,POINT (-73.96196208 40.66956009)
Gibney Dance,280 BROADWAY,North Exit Stairwell across from studio x,Manhattan,New York,10007,8,1,40.71441034,-74.00608902,101,1,3100,MN24,1001530001,1079215,POINT (-74.00608902 40.71441034)
Philips,1345 AVENUE OF THE AMERICAS,20th floor (north side of floor),Manhattan,New York,10019,1,2,40.76259829,-73.97845996,105,6,13700,MN17,1010070029,1083719,POINT (-73.97845996 40.76259829)
Hudson River Park Trust,353 WEST STREET,Room 204 / Operations Desk,Manhattan,New York,10014,49,1,40.72916313,-74.0106762,102,3,6900,MN23,1006560001,1012249,POINT (-74.0106762 40.72916313)
PSS Parkside Senior Center,644 Adee Avenue,Director''s Office,Bronx,New York,10467,3,1,40.86966409,-73.86910452,211,12,33600,BX07,2045420100,2101742,POINT (-73.86910452 40.86966409)
TD Bank - 444 Madison Avenue,444 MADISON AVENUE,-,Manhattan,New York,10022,1,3,40.75757485,-73.97580493,105,4,10200,MN17,1012850015,1035454,POINT (-73.97580493 40.75757485)
Macklowe Management Company,420 EAST 54 STREET,Lobby,Manhattan,New York,10022,0,1,40.75598235,-73.96340687,106,4,8603,MN19,1013650009,1040158,POINT (-73.96340687 40.75598235)
"Walt Disney/ABC, Inc.",47 WEST 66 STREET,Stair Y-Floor Lobby,Manhattan,New York,10023,180,1,40.77298749,-73.98008127,107,6,15300,MN14,1011190021,1081016,POINT (-73.98008127 40.77298749)
Caspian Capital LP,10 EAST 53 STREET,35th Floor,Manhattan,New York,10022,1,1,40.76011361,-73.97514342,105,4,10200,MN17,1012880007,1035709,POINT (-73.97514342 40.76011361)
P.S. 90 Edna Cohen School,2840 West 12 Street,Main Entrance next to School Safety,Brooklyn,New York,11224,9,1,40.57824838,-73.9796284,313,47,35000,BK23,3072660040,3196558,POINT (-73.9796284 40.57824838)
Kennedy Senior Center,37-06 111th Street,Reception Desk,Queens,New York,11368,3,1,40.75393416,-73.85726299,403,21,40100,QN26,4017780027,4430244,POINT (-73.85726299 40.75393416)
Little Red School House,40 CHARLTON STREET,3rd Floor Gym,Manhattan,New York,10014,1,1,40.72706927,-74.00479855,102,3,3700,MN24,1005060012,1007827,POINT (-74.00479855 40.72706927)
Morgan Stanley - ISG - New York Metro - 1 NY Plaza - Floor: U1,1 NEW YORK PLAZA,Floor: U1,Manhattan,New York,10004,1,4,40.70253319,-74.01256178,101,1,900,MN25,1000047501,1000005,POINT (-74.01256178 40.70253319)
P.S. 048 David N. Dinkins School,108-29 155 Street,Outside Room 332 - 3rd Floor,Queens,New York,11433,10,1,40.69351002,-73.79672719,412,28,25400,QN01,4101440047,4590626,POINT (-73.79672719 40.69351002)
Equinox,250 EAST 54 STREET,N/A,Manhattan,New York,10022,8,2,40.75782815,-73.96779152,106,4,9800,MN19,1013277502,1038562,POINT (-73.96779152 40.75782815)
Nederlander Theater,208 West 41st St,coatcheck,Manhattan,New York,10036,2,1,40.75560879,-73.98803818,105,3,11300,MN17,1010120038,1024651,POINT (-73.98803818 40.75560879)
I.S. 227 Louis Armstrong,32-02 Junction Boulevard,Outside Room 430,Queens,New York,11369,6,1,40.75840079,-73.87447135,403,21,35300,QN27,4014230001,4034891,POINT (-73.87447135 40.75840079)
"Amalgamated Warbasse Houses, Inc",2800 WEST 5 STREET,Lobby Building 3,Brooklyn,New York,11224,18,1,40.58018177,-73.97172228,313,47,35400,BK23,3072500001,3257105,POINT (-73.97172228 40.58018177)
It Takes a Village Academy,5800 Tilden Avenue,basement b by bathroom,Brooklyn,New York,11203,5,1,40.64864945,-73.92217147,317,45,93600,BK96,3047420001,3104598,POINT (-73.92217147 40.64864945)
Hebrew Language Academy Charter School,2186 Mill Avenue,"3rd Floor, outside rm 309",Brooklyn,New York,11234,6,1,40.61385206,-73.9121416,318,46,69800,BK45,3084707502,3332530,POINT (-73.9121416 40.61385206)
J.H.S. 167 Robert F. Wagner,220 East 76 Street,Outside Rm 326,Manhattan,New York,10021,15,1,40.77204285,-73.95807271,108,5,13400,MN31,1014300005,1044058,POINT (-73.95807271 40.77204285)
Jacob K. Javits Convention Center,655 WEST 34 STREET,1C Rear,Manhattan,New York,10001,75,1,40.75655629,-74.00380806,104,3,9900,MN13,1006800001,1067973,POINT (-74.00380806 40.75655629)
P.S. 056 Norwood Heights,341 East 207 Street,outside multipurpose room,Bronx,New York,10467,11,1,40.87514936,-73.87521556,207,11,42902,BX43,2033510001,2018457,POINT (-73.87521556 40.87514936)
Cardinal McCloskey  Community Charter School,685 East 182 Street,stairwell C 3rd Fl,Bronx,New York,10457,9,1,40.85096475,-73.8877679,206,15,39100,BX06,2030850030,2012410,POINT (-73.8877679 40.85096475)
"Golenbock Eiseman Assor Bell & Peskoe, LLP",711 THIRD AVENUE,17th Floor,Manhattan,New York,10017,6,2,40.75236748,-73.97326588,106,4,9000,MN19,1013180001,1037568,POINT (-73.97326588 40.75236748)
The New York Times,620 EIGHTH AVENUE,Newsroom - 3rd Floor - Outside Cafe,Manhattan,New York,10018,72,1,40.75603172,-73.99065138,105,3,11300,MN17,1010127501,1087186,POINT (-73.99065138 40.75603172)
Morgan Stanley - ISG - New York Metro - 750 7th Ave - Floor: 4,750 SEVENTH AVENUE,Floor: 4,Manhattan,New York,10019,1,1,40.76074642,-73.98352505,105,3,12500,MN17,1010210026,1024795,POINT (-73.98352505 40.76074642)
SONY Corporation,550 MADISON AVENUE,20th Floor,Manhattan,New York,10022,20,1,40.76108209,-73.97325154,105,4,10200,MN17,1012910010,1035769,POINT (-73.97325154 40.76108209)
Morgan Stanley - CMP072 - 399 Park - New York NY 399 - Floor: 12,399 PARK AVENUE,-,Manhattan,New York,10022,14,1,40.75953381,-73.97224506,105,4,10000,MN19,1013087502,1071457,POINT (-73.97224506 40.75953381)
J.H.S. 226 Virgil I. Grissom,121-10 Rockaway Boulevard,"Exit E, 121st Street",Queens,New York,11420,13,1,40.67576338,-73.8169379,410,28,84000,QN55,4117140100,4253607,POINT (-73.8169379 40.67576338)
"Walt Disney/ABC, Inc.",605 THIRD AVENUE,Reception Area-8th Floor,Manhattan,New York,10158,180,1,40.74906882,-73.97568171,106,4,8800,MN19,1009200012,1082153,POINT (-73.97568171 40.74906882)
American Museum of Natural History,200 CENTRAL PARK WEST,1,Manhattan,New York,10016,43,1,40.78130521,-73.972254,107,6,16500,MN12,1011300001,1083846,POINT (-73.972254 40.78130521)
Department of Citywide Administrative Services,52 CHAMBERS STREET,3RD FLOOR,Manhattan,New York,10007,2,1,40.71380652,-74.00556953,101,1,3100,MN24,1001220001,1079146,POINT (-74.00556953 40.71380652)
High School For Community Leadership,167-01 Gothic Drive,Main Entrance,Queens,New York,11432,12,1,40.71321019,-73.79723682,408,24,45200,QN35,4098580100,4448806,POINT (-73.79723682 40.71321019)
Mendes & Mount LLP,750 SEVENTH AVENUE,24th Floor Hallway,Manhattan,New York,10019,0,1,40.76074642,-73.98352505,105,3,12500,MN17,1010210026,1024795,POINT (-73.98352505 40.76074642)
Equinox,250 UTICA AVENUE,N/A,Brooklyn,New York,11213,1,1,40.67009459,-73.93101065,308,35,35100,BK61,3013840051,3398400,POINT (-73.93101065 40.67009459)
P.S./I.S. 104 The Fort Hamilton School,9115 Fifth Avenue,Main Entrance,Brooklyn,New York,11209,8,1,40.61840828,-74.02884148,310,47,16000,BK31,3060880001,3154775,POINT (-74.02884148 40.61840828)
"Walt Disney/ABC, Inc.",147 COLUMBUS AVENUE,Elevator Lobby-6th Floor,Manhattan,New York,10023,180,1,40.77383035,-73.98138801,107,6,15300,MN14,1011190001,1075637,POINT (-73.98138801 40.77383035)
Macy's Inc. - Macy's #002: Brooklyn Downtown,422 FULTON STREET,-,Brooklyn,New York,11201,14,4,40.69088421,-73.98595116,302,33,3700,BK38,3001567502,3335899,POINT (-73.98595116 40.69088421)
Sentinel Real Estate Corp.,1251 AVENUE OF THE AMERICAS,35th floor / East side of reception,Manhattan,New York,10020,15,1,40.75963708,-73.98062674,105,4,12500,MN17,1010027501,1022706,POINT (-73.98062674 40.75963708)
St. Francis Prep High School,61-00 FRANCIS LEWIS BOULEVARD,7 SPORTS-TRAVELING USES During THE FIELD,Queens,New York,11365,131,8,40.74266493,-73.77543997,408,23,134700,QN41,4071280002,4438312,POINT (-73.77543997 40.74266493)
P.S. 006 Lillie D. Blake,45 East 81 Street,Entrance to Play Area 4th floor roof area,Manhattan,New York,10028,12,1,40.77744821,-73.9607123,108,4,14200,MN40,1014930021,1046668,POINT (-73.9607123 40.77744821)
M.S. 390 Bronx,1930 Andrews Avenue,Outside Rm. 301,Bronx,New York,10453,8,1,40.85469491,-73.91319589,205,14,24502,BX36,2032160002,2014692,POINT (-73.91319589 40.85469491)
Morgan Stanley - ISG - New York Metro - 1 NY Plaza - Floor: U1,1 NEW YORK PLAZA,Floor: U1,Manhattan,New York,10004,7,2,40.70253319,-74.01256178,101,1,900,MN25,1000047501,1000005,POINT (-74.01256178 40.70253319)
Staten Island Borough Office,"715 Ocean Terrace, Building A",Science center room 219,Staten Island,New York,10301,6,1,40.60874845,-74.10234414,502,50,17700,SI24,5006830001,5113169,POINT (-74.10234414 40.60874845)
FedEx Express,585 WASHINGTON STREET,N/A,Manhattan,New York,10014,7,6,40.72980553,-74.00917534,102,3,6900,MN23,1006010026,1080184,POINT (-74.00917534 40.72980553)
Innovatix,555 WEST 57 STREET,12th Floor; 1201,Manhattan,New York,10019,8,3,40.77000254,-73.99065664,104,6,13500,MN15,1010867502,1027072,POINT (-73.99065664 40.77000254)
Maspeth High School,54-40 74 Street,Main Entrance,Queens,New York,11373,26,1,40.72993187,-73.88748183,405,30,49302,QN30,4028030001,4062864,POINT (-73.88748183 40.72993187)
COTHOA Senior Center,2005 Amsterdam Avenue,Case Worker''s Office,Manhattan,New York,10032,3,1,40.83431914,-73.94095103,112,10,24500,MN36,1021090003,1062531,POINT (-73.94095103 40.83431914)
P.S. 097 Forest Park,85-52 85 Street,Main Entrance,Queens,New York,11421,11,1,40.6945101,-73.85965898,409,32,1200,QN53,4088550020,4181565,POINT (-73.85965898 40.6945101)
Atmosphere Academy Public Charter School - Broadway,5959 Broadway,Main Entrance,Bronx,New York,10463,5,1,40.88894808,-73.89853208,208,11,28500,BX29,2057760621,2124471,POINT (-73.89853208 40.88894808)
P.S. 029 John M. Harrigan,425 Henry Street,Main Entrance next to School Safety,Brooklyn,New York,11201,11,1,40.68695179,-73.99805289,306,39,4500,BK33,3003110001,3255627,POINT (-73.99805289 40.68695179)
P.S. 238 Anne Sullivan,1633 East 8 Street,Outside 4th Floor Gym -402B,Brooklyn,New York,11223,6,1,40.60885473,-73.96505809,315,44,42000,BK25,3066400013,3176229,POINT (-73.96505809 40.60885473)
"Curtis Mallet-Prevost, Coli & Mosie LLP",101 PARK AVENUE,34th floor / mailroom,Manhattan,New York,10178,18,1,40.75098522,-73.97848538,105,4,8000,MN20,1012950001,1036144,POINT (-73.97848538 40.75098522)
Greenwich Condominium,65 WEST 13 STREET,1st Floor Security,Manhattan,New York,10011,0,1,40.736138,-73.99607043,102,2,6300,MN23,1005777502,1009706,POINT (-73.99607043 40.736138)
Success Academy Charter School-Washington Heights,701 Fort Washington Avenue,Outside Gym basement level,Manhattan,New York,10040,1,1,40.85779444,-73.93509903,112,10,27300,MN35,1021790511,1064382,POINT (-73.93509903 40.85779444)
Origins High School,3000 Avenue X,Outside Room 317,Brooklyn,New York,11235,8,1,40.59411733,-73.93769677,315,46,62600,BK17,3074250002,3203631,POINT (-73.93769677 40.59411733)
The Stahl Organization,233 WEST 77 STREET,Lobby Office,Manhattan,New York,10024,2,1,40.7825943,-73.98108946,107,6,16300,MN12,1011690008,1030881,POINT (-73.98108946 40.7825943)
Eleven Times Square,11 Times Square,29th Floor outside service elevator (SN: B07F-01949),Manhattan,New York,10036,44,17,40.75689078,-73.9900232,105,3,11300,MN17,1010137501,1087978,POINT (-73.9900232 40.75689078)
"Vornado Office Management, LLC",640 FIFTH AVENUE,Lobby,Manhattan,New York,10019,9,1,40.75942509,-73.97712179,105,4,10400,MN17,1012670034,1034516,POINT (-73.97712179 40.75942509)
Grover Cleveland High School,2127 Himrod Street,main entrance,Queens,New York,11385,27,1,40.71102563,-73.90881356,405,30,59500,QN20,4033630001,4080227,POINT (-73.90881356 40.71102563)
Atmosphere Academy Charter School - Annex,3700 Independence Avenue,Main Entrance,Bronx,New York,10463,7,1,40.88812563,-73.91312313,208,11,30701,BX22,2059030299,2085776,POINT (-73.91312313 40.88812563)
The Museum of Modern Art,11 WEST 53 STREET,Ã¯Â¿Â½Entrance of the Theater - Titus II Vestibule,Manhattan,New York,10019,13,1,40.76099511,-73.97720066,105,4,10400,MN17,1012690020,1081128,POINT (-73.97720066 40.76099511)
JPMorgan Chase - 237 Park Avenue,237 PARK AVENUE,-,Manhattan,New York,10017,1,1,40.75389681,-73.97551391,105,4,9200,MN19,1013007501,1036186,POINT (-73.97551391 40.75389681)
Conde Nast Building,4 Times Square,36th floor / operations desk,Manhattan,New York,10036,0,1,40.75617401,-73.98624415,105,4,11900,MN17,1009950005,1085682,POINT (-73.98624415 40.75617401)
"All County, LLC",161-05 Horace Harding Expressway,First Floor,Queens,New York,11365,13,1,40.73879241,-73.80732764,407,20,121500,QN62,4067390016,4311350,POINT (-73.80732764 40.73879241)
Benjamin Banneker Academy,71-77 Clinton Avenue,Main Entrance By School Safety,Brooklyn,New York,11205,22,1,40.69532473,-73.96924268,302,35,19100,BK69,3018880034,3054323,POINT (-73.96924268 40.69532473)
P.S. 527 - East Side School for Social Action,323 East 91 Street,5th floor play area,Manhattan,New York,10128,10,1,40.78075638,-73.94868982,108,5,15400,MN32,1015540015,1050217,POINT (-73.94868982 40.78075638)
Adacore Technologies,15 WEST 30 STREET,16 floor,Manhattan,New York,10001,8,1,40.7462875,-73.98725671,105,3,7600,MN17,1008320027,1015780,POINT (-73.98725671 40.7462875)
P037R - Great Kills Campus (R089),15A Fairfield Street,outside room 201,Staten Island,New York,10308,6,1,40.56396289,-74.15088459,503,51,14605,SI54,5045860001,5170161,POINT (-74.15088459 40.56396289)
"McDermott, Will, Emery","One Vanderbilt, 420 Lexington Avenue",47th Floor / Outside Men's Room,Manhattan,New York,10017,33,1,40.752883,-73.978395,105,4,94,MN0502,1012770027,1090825,POINT (-73.978395 40.752883)
Parkside Preparatory Academy,655 Parkside Avenue,Main Entrance on Parkside Ave,Brooklyn,New York,11226,6,1,40.65617537,-73.95158278,309,40,80200,BK60,3050500051,3378201,POINT (-73.95158278 40.65617537)
P.S. X114 - Luis Llorens Torres Schools,1155 Cromwell Avenue,2nd Floor Gym,Bronx,New York,10452,5,1,40.83476967,-73.92306596,204,16,6300,BX63,2024950100,2003022,POINT (-73.92306596 40.83476967)
Taconic Mgmt Company LLC,125 WEST END AVENUE,Conference Center,Manhattan,New York,10023,6,1,40.77566742,-73.98750381,107,6,15100,MN14,1011717514,1083025,POINT (-73.98750381 40.77566742)
Bronx Preparatory Charter School,3872 Third Avenue,Gym,Bronx,New York,10457,10,1,40.83888331,-73.9006615,203,15,16700,BX01,2029290008,2113141,POINT (-73.9006615 40.83888331)
Brooklyn Prospect Charter - Downtown Elementary Middle School,80 Willoughby Street,9th floor outside stair,Brooklyn,New York,11201,11,1,40.69215499,-73.98561553,302,33,1100,BK38,3001527502,3000412,POINT (-73.98561553 40.69215499)
Brookfield Properties - Oaktree Wealth Solutions,225 LIBERTY STREET,Floor 35,Manhattan,New York,10281,22,1,40.71153017,-74.01567279,101,1,31703,MN25,1000160125,1000058,POINT (-74.01567279 40.71153017)
J.H.S. 008 Richard S. Grossley,108-35 167 Street,Basement Outside Teachers Cafe,Queens,New York,11433,3,1,40.6971817,-73.78719168,412,27,25800,QN01,4101780001,4216655,POINT (-73.78719168 40.6971817)
"Mutual Redevelopment Houses, Inc - 09",305 WEST 28 STREET,-,Manhattan,New York,10001,38,1,40.74853885,-73.99641978,104,3,9700,MN13,1007520001,1083604,POINT (-73.99641978 40.74853885)
Morgan Stanley - ISG - New York Metro - 750 7th Ave - Floor: 31,750 SEVENTH AVENUE,Floor: 31,Manhattan,New York,10019,1,1,40.76074642,-73.98352505,105,3,12500,MN17,1010210026,1024795,POINT (-73.98352505 40.76074642)
Tishman Speyer - The Spiral,66 HUDSON BOULEVARD,Property Management Office,Manhattan,New York,10001,0,1,40.75548041,-74.00021296,104,3,9900,MN13,1007060017,1090122,POINT (-74.00021296 40.75548041)
Worldwide Plaza,825 Eighth Avenue,Fl. 38,Manhattan,New York,10019,38,1,40.76206701,-73.98627542,104,3,12700,MN15,1010400029,1076203,POINT (-73.98627542 40.76206701)
Thurgood Marshall Academy Lower School,276 West 151st Street,2nd Floor,Manhattan,New York,10039,13,1,40.82611903,-73.93798095,110,9,23600,MN03,1020360047,1060596,POINT (-73.93798095 40.82611903)
"McLauglin & Stern, LLP",260 MADISON AVENUE,20th Floor Pantry,Manhattan,New York,10016,8,1,40.75070018,-73.98082785,105,4,8200,MN20,1008680016,1017230,POINT (-73.98082785 40.75070018)
The Peck Slip School,1 Peck Slip,Main Entrance,Manhattan,New York,10038,8,1,40.70875899,-74.00240583,101,1,1501,MN25,1001060009,1001363,POINT (-74.00240583 40.70875899)
Rockefeller University,1230 YORK AVENUE,Theobald Smith Hall,Manhattan,New York,10021,6,1,40.76312728,-73.95645028,108,5,11600,MN31,1014800010,1090764,POINT (-73.95645028 40.76312728)
"Bryan Cave, LLP",1290 AVENUE OF THE AMERICAS,31st Floor,Manhattan,New York,10104,12,1,40.76085011,-73.97971672,105,4,10400,MN17,1012670001,1034510,POINT (-73.97971672 40.76085011)
DeWitt Clinton High School,100 West Mosholu Parkway South,Outside Rm 357,Bronx,New York,10468,13,1,40.88217149,-73.88690856,207,11,40900,BX28,2032510201,2095215,POINT (-73.88690856 40.88217149)
Douglas Elliman Property Management,222 RIVERSIDE DRIVE,Lobby,Manhattan,New York,10025,11,1,40.79504907,-73.97622826,107,6,18300,MN12,1012537502,1076254,POINT (-73.97622826 40.79504907)
Aviation Career & Technical Education High School,45-30 36th Street,Outside Room 427,Queens,New York,11101,18,1,40.74350231,-73.9290758,402,26,17900,QN31,4002260001,4436685,POINT (-73.9290758 40.74350231)
P.S. 063 Author's Academy,1260 Franklin Avenue,Main Lobby,Bronx,New York,10456,9,1,40.83095828,-73.90273673,203,17,14900,BX35,2026150014,2004302,POINT (-73.90273673 40.83095828)
"Kirkland & Ellis, LLP",601 LEXINGTON AVENUE,33rd floor / north side copy/supply room,Manhattan,New York,10022,31,1,40.75845753,-73.97091355,106,4,10000,MN19,1013087501,1036474,POINT (-73.97091355 40.75845753)
P.S. 390Q: The CIVIC School of Bayside Hills,56-10 214th Street,main entrance,Queens,New York,11364,5,1,40.75021355,-73.76473119,411,23,139900,QN46,4074420001,4438331,POINT (-73.76473119 40.75021355)
Brilla College Preparatory Charter School (Grades K-4),413 East 144 Street,Outside room 101,Bronx,New York,10454,11,1,40.81266386,-73.91956573,201,8,4300,BX39,2022890075,2000495,POINT (-73.91956573 40.81266386)
Wadleigh Secondary School for the Performing & Visual Arts,215 West 114 Street,3rd fl outside 304,Manhattan,New York,10026,3,1,40.80220068,-73.95414182,110,9,21800,MN11,1018300019,1055204,POINT (-73.95414182 40.80220068)
"Chubb Insurance - NY- New York, NY (1133 AOA)",1133 AVENUE OF THE AMERICAS,-,Manhattan,New York,10036,39,9,40.75593483,-73.98332411,105,4,11900,MN17,1009960029,1080824,POINT (-73.98332411 40.75593483)
HANAC JVL Senior Center,29-19 24th Avenue,Director''s Office,Queens,New York,11102,3,1,40.77279387,-73.91610474,401,22,11500,QN72,4008420006,4437011,POINT (-73.91610474 40.77279387)
Queens Explorers Elementary School,90-07 101st Avenue,"2nd Floor, Next to Elevator",Queens,New York,11416,10,1,40.68309622,-73.85012118,409,32,3800,QN53,4090640031,4541381,POINT (-73.85012118 40.68309622)
Battery Park City School,55 Battery Place,Between Room 301 and 317,Manhattan,New York,10280,13,1,40.70643282,-74.01781763,101,1,31704,MN25,1000160040,1087945,POINT (-74.01781763 40.70643282)
P.S. 157 Grove Hill,757 Cauldwell Avenue,Main Entrance,Bronx,New York,10456,0,1,40.81925124,-73.90855269,201,17,7500,BX34,2026250001,2004464,POINT (-73.90855269 40.81925124)
"ADM Investor Services, Inc",1 PENN PLAZA,"Suite 4421, Pillar in the middle of the Trading Room",Manhattan,New York,10119,6,1,40.75109132,-73.9929259,105,3,10100,MN17,1007830070,1014387,POINT (-73.9929259 40.75109132)
HSBC,2 HANSON PLACE,"FLOORS 13-14, GROUND",Brooklyn,New York,11243,9,3,40.68508594,-73.9777279,302,35,3500,BK68,3020017501,3348849,POINT (-73.9777279 40.68508594)
P.S. 085 Judge Charles Vallone,23-70 31 Street,3rd floor outside the library,Queens,New York,11105,10,1,40.77292453,-73.9146243,401,22,11500,QN72,4008420031,4017485,POINT (-73.9146243 40.77292453)
Marriott International.,2 EAST 55 STREET,NA,Manhattan,New York,10022,10,4,40.76155177,-73.97468083,105,4,10200,MN17,1012907502,1035762,POINT (-73.97468083 40.76155177)
Givaudan Fragrances,40 WEST 57 STREET,NA,Manhattan,New York,10019,8,5,40.76353088,-73.97535152,105,4,11201,MN17,1012720063,1035057,POINT (-73.97535152 40.76353088)
